First_line,Author,References_or_purpose,TiS,AHB,AoV,All_together_books,NCH,Iona_books,CH4,UMH,VU_MV,StJ_StS,Lutheran_sources,Evangelical_Lutheran_Worship,Alleluia_Aotearoa_Faith_Forever_Singing,StF_FwS,Hymns_for_a_Pilgrim_People_Congregational,Presbyterian_Hymnal,Gather_2nd_Ed,Gather_comprehensive,Gather_Comprehensive_2,Ritual_Song,CP_Canada,CP_England,Column_24,Chalice,Zion_Still_Sings,The_Source,URW,Column_29,StF,Column_31,MP,Comments,Column_39,Column_40
5000+ Hungry Folk,(Smale),Matt 14:16-21; Mark 6:37-44; Lk 9:13-17; Jn 6:5-13 ,,,,,,,,,,,,,,,,,,,,,,,,,,Srce149,,,,,,http://www.allsaintshoole.org/music/newsongquery1.asp?songtitle=719,,
A baby's smile and a gentle rain / These good gifts,(Simpson),Ps 104 ; Matt 7:11; James 1:17,,,,ATOK 330,,,,,,,,,,,,,,,,,,,,,,,,,,,,masculine chorus right through. Nice verses though. ,,
A brighter dawn is breaking,,,,,,,,,,,,,,,,A&M192,,,,,,,,CP(E) 135,,,,,,,,,,,Nun Lasst Uns,
A candle is burning,(Dean),Advent Candle Song; Lk 2:1-20; ,,,,,,,,,VU006,,,,,,,,,,,,,,,,,,,,,,,Northern Hemisphere specific,,
A charge to keep I have,(Wesley),,TiS 573,AHB 487,,,,,,UMH413,,,,,,,,,,,,,,,W&R588,,,,,,StF658,,,,,
A Cheering Chanting & Dizzy Crowd,(Troeger),Mark 11:1-11; Palm Sunday,,,,,,,,,,,,,,,,GtG200,,,,,,,,Cha193,,,,,,,,http://www.cccmemphistn.org/view/41,Lyrics are great. Usually sung to MORNING SONG.,
A child is born,(Newton),Baptism,,,,ATAR590,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Uplifting new words for a baptism, sung to the tune JERUSALEM. I personally don't like the tune, but the words would fit well to other standard hymn tunes as well if you would like to use them. ",,
A child is born in Bethlehem,(Hume),Christmas,,,,,,,,,,,,,,,,,,,,RS 500,,,,,,,,82Hml-103,,Lau125,,"A plainsong chant, in Latin and English. Could be fun to use some Christmas eve. ",PUER NATUS,
A child was born in Bethlehem,(Sheehy),,,,,,,,,,,,,,CoC01,,,,,,,,,,,,,,,,,,,,,
A Circle Of Love yes a circle of love,(Sandler),Welcoming,,,AoV2-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chorus is nice, but the verses are a bit twee. Chorus works as a round.",,
A city radiant as a bride,,,,,,,,,,,,,,,,,,,,,,,,CP(E) 364,,,,,,,,,,,,
A cry in the night,Ainger,Mark 14:50-65 ; Mark 15:1-15 ; Mark 15:24-37 ; Mark 16:1-7; Lk 2:7; Heb 13:14,,,,ATE 231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A cup of rejoicing,(Shaker),,,,,,,,,,,Songs for Liturgy 66 ,,,,,,,,,,,,,,,,,,,,,,,,
A Grain Of Wheat,(Anderson),John 12:24,,,,,,,,,,,,,,,,,,,,,,Tune In,,,,,,,,,,,,
A grateful heart is what I bring,,,,,,,,,,,,,,,,,,GtG652,,,,,,,,,,,,,,,,,,
A great and mighty wonder,,,,,,,,,,,,,,,,A&M58,,,,,,,,CP(E) 41,,,,,,,,,,,,
A Hymn of Glory Let Us Sing,(The Venerable Bede),"Eph 4:1-16; Heb 1:1-4, (5-12); Lk 24:36b-48; Mark 14:1-15:47; Matt 26:14-27:66",,,,,NCH259,,,,,,LBW157,ELW393,,,,GtG258 / PH141 / ,,GC454,GC(II)467,G(3)545,,,W&R322,,,,,82Hml-218,,,,Ascension; ACTS 1:1–11; Phil 2:9-11; Rev 5:11-13; Rev 7:9-11,"Good hymn tune. Lots of Alleluias, but some versions have different tunes. Formal, but inclusive language.",
A Hymn of Joy We Sing,(Wolfe),BOYLSTON,,,,,,,,,,,,,,,,,,,,,,,,Cha404,,,,,,,,Better songs out there for this theme.,,
A is for the Armadillo,,,,,,ATAR591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
